Rooms,Price,Distance,Bedroom2,Bathroom,Landsize,BuildingArea,YearBuilt
3,740000.0,9.2,3.0,1.0,333.0,,1950.0
2,770000.0,9.2,2.0,1.0,329.0,,1955.0
3,490000.0,9.2,3.0,1.0,269.0,80.0,1960.0
3,657000.0,9.2,3.0,2.0,159.0,,
2,830000.0,9.2,2.0,1.0,318.0,,
4,675000.0,9.2,4.0,1.0,595.0,80.0,1950.0
3,865000.0,9.2,3.0,1.0,381.0,121.0,1940.0
2,600000.0,9.2,2.0,2.0,145.0,112.0,2012.0
4,773000.0,9.2,4.0,1.0,333.0,137.0,1970.0
3,905000.0,9.2,3.0,1.0,686.0,,
3,2500000.0,7.4,,,,,
4,3850000.0,7.4,,,,,
2,2660000.0,7.4,,,,,
2,570500.0,7.4,2.0,1.0,0.0,,
2,1350000.0,7.4,2.0,2.0,0.0,,
4,2325000.0,7.4,,,,,
3,2050000.0,7.4,2.0,2.0,231.0,180.0,1890.0
4,2300000.0,7.4,4.0,2.0,599.0,,1977.0
4,3460000.0,7.4,4.0,2.0,502.0,309.0,2016.0
4,2400000.0,7.4,4.0,2.0,586.0,195.0,1890.0
2,569000.0,7.4,2.0,1.0,0.0,,1970.0
3,2025000.0,7.4,3.0,2.0,396.0,105.0,1910.0
3,1950000.0,7.4,2.0,1.0,325.0,,
3,1895000.0,7.4,3.0,2.0,258.0,,
2,635000.0,7.4,2.0,1.0,0.0,,1970.0
2,611000.0,7.4,2.0,1.0,0.0,68.0,2008.0
2,1020000.0,7.4,,,,,
2,1611000.0,7.4,2.0,1.0,277.0,,
4,3800000.0,7.4,4.0,3.0,587.0,392.0,2016.0
3,1390000.0,7.4,3.0,2.0,227.0,181.0,1995.0
2,780000.0,7.4,2.0,0.0,0.0,,
4,4700000.0,7.4,4.0,3.0,879.0,,
3,2415000.0,7.4,3.0,1.0,696.0,128.0,1910.0
2,710000.0,7.4,,,,,
2,566000.0,7.4,2.0,1.0,0.0,80.0,1970.0
3,1437000.0,7.4,2.0,1.0,313.0,132.0,1910.0
2,500000.0,7.4,2.0,1.0,0.0,54.0,1970.0
2,1155000.0,7.4,2.0,2.0,0.0,,2002.0
3,3010000.0,7.4,3.0,3.0,283.0,,
2,650000.0,7.4,2.0,2.0,0.0,,
5,3400000.0,7.4,4.0,3.0,807.0,339.0,1920.0
3,2355000.0,7.4,3.0,2.0,471.0,235.0,1985.0
5,4240000.0,7.4,5.0,3.0,580.0,320.0,1890.0
3,927000.0,7.4,3.0,1.0,0.0,,
1,2605000.0,7.4,,,,,
2,1326000.0,7.4,2.0,1.0,254.0,100.0,1900.0
4,4525000.0,7.4,4.0,4.0,716.0,159.0,1925.0
2,660000.0,7.4,2.0,1.0,0.0,,
4,1617000.0,7.4,2.0,1.0,337.0,,
4,1965000.0,7.4,4.0,2.0,300.0,185.0,1890.0
3,2325000.0,7.4,3.0,2.0,347.0,,
4,3470000.0,7.4,4.0,3.0,585.0,248.0,1915.0
2,740000.0,7.4,2.0,1.0,0.0,91.0,1967.0
4,5075000.0,7.4,,,,,
5,2325000.0,7.4,5.0,3.0,501.0,233.0,2006.0
3,1970000.0,7.4,3.0,2.0,246.0,106.0,1910.0
1,405000.0,7.4,1.0,1.0,0.0,,
2,1475000.0,7.4,2.0,1.0,232.0,95.0,2001.0
2,640000.0,7.4,2.0,2.0,0.0,,
2,700000.0,7.4,2.0,1.0,0.0,,1998.0
4,1395000.0,7.4,,,,,
3,1000000.0,7.4,3.0,2.0,176.0,,
2,584000.0,7.4,2.0,1.0,0.0,74.0,1971.0
4,4940000.0,7.4,,,,,
1,420000.0,7.4,1.0,1.0,0.0,,
5,4980000.0,7.4,,,,,
2,670000.0,7.4,,,,,
3,2300000.0,7.4,3.0,2.0,313.0,,1920.0
3,1490000.0,11.2,3.0,1.0,322.0,137.0,1910.0
3,1210000.0,11.2,3.0,2.0,337.0,146.0,1993.0
4,1300000.0,11.2,3.0,2.0,644.0,,
4,1675000.0,11.2,3.0,2.0,727.0,,
3,980000.0,11.2,3.0,1.0,317.0,,1940.0
4,2055000.0,11.2,,,,,
4,2400000.0,11.2,4.0,2.0,758.0,,
4,2355000.0,11.2,4.0,2.0,0.0,223.0,1915.0
2,1036000.0,11.2,2.0,1.0,310.0,102.0,1910.0
4,1301000.0,11.2,4.0,3.0,611.0,,
3,2273000.0,11.2,3.0,3.0,376.0,254.0,1930.0
5,2350000.0,11.2,5.0,2.0,567.0,327.0,1915.0
2,350000.0,11.2,,,,,
4,1215000.0,11.2,4.0,2.0,207.0,,
2,447000.0,11.2,2.0,1.0,0.0,,1990.0
4,2200000.0,11.2,4.0,2.0,541.0,,
2,866000.0,11.2,,,,,
4,2200000.0,11.2,4.0,3.0,567.0,215.0,1920.0
2,790000.0,11.2,2.0,1.0,196.0,109.0,1970.0
4,2250000.0,11.2,4.0,1.0,720.0,,
2,587000.0,11.2,,,,,
4,1185000.0,11.2,3.0,2.0,797.0,180.0,1950.0
4,1550000.0,11.2,,,,,
3,1837000.0,11.2,4.0,2.0,769.0,196.0,1920.0
3,1105000.0,11.2,3.0,2.0,331.0,,
4,2360000.0,11.2,,,,,
3,1253000.0,11.2,3.0,2.0,216.0,135.0,1994.0
3,1505000.0,11.2,3.0,2.0,647.0,,
3,1500000.0,11.2,3.0,1.0,693.0,,
2,720000.0,11.2,,,,,
4,1400000.0,11.2,4.0,2.0,260.0,,
2,720000.0,11.2,2.0,1.0,92.0,,
3,2210000.0,11.2,3.0,1.0,789.0,,
3,940000.0,11.2,3.0,2.0,206.0,,
5,1810000.0,11.2,5.0,3.0,751.0,,1934.0
3,922000.0,11.2,3.0,2.0,0.0,138.0,2000.0
5,4802500.0,11.2,5.0,2.0,837.0,267.0,1919.0
1,350000.0,11.2,1.0,1.0,0.0,117.0,1975.0
2,735000.0,11.2,,,,,
3,1555000.0,11.2,3.0,2.0,691.0,150.0,1950.0
4,2123000.0,11.2,4.0,3.0,412.0,254.0,1930.0
4,2800000.0,11.2,4.0,2.0,809.0,,1925.0
2,500000.0,11.2,,,,,
1,350000.0,11.2,,,,,
2,840000.0,11.2,,,,,
3,2305000.0,11.2,3.0,2.0,543.0,,
4,1700000.0,11.2,4.0,3.0,365.0,110.0,1930.0
5,2500000.0,11.2,5.0,3.0,488.0,,
2,370000.0,11.2,2.0,1.0,0.0,,1965.0
2,1150000.0,11.2,2.0,1.0,604.0,119.0,1960.0
5,1600000.0,11.2,5.0,2.0,639.0,,
4,2001000.0,11.2,4.0,2.0,526.0,243.0,1910.0
3,1915000.0,11.2,3.0,2.0,700.0,126.0,1920.0
4,1690000.0,11.2,4.0,2.0,334.0,,1920.0
3,1320000.0,11.2,,,,,
3,830000.0,11.2,,,,,
3,1135000.0,11.2,3.0,3.0,0.0,130.0,1988.0
4,1240000.0,11.2,4.0,2.0,310.0,180.0,1990.0
3,1120000.0,11.2,3.0,2.0,181.0,151.0,1990.0
3,1625000.0,11.2,3.0,2.0,87.0,,
2,695000.0,11.2,,,,,
3,1500000.0,11.2,3.0,1.0,888.0,165.0,1886.0
2,1400000.0,11.2,2.0,1.0,312.0,,
3,707500.0,11.2,2.0,1.0,170.0,83.0,1975.0
2,835000.0,11.2,2.0,1.0,0.0,118.0,1930.0
2,560000.0,11.2,,,,,
3,1870000.0,11.2,3.0,2.0,400.0,152.0,1930.0
3,1675000.0,11.2,,,,,
3,1700000.0,11.2,,,,,
4,1580000.0,11.2,4.0,2.0,504.0,260.0,1920.0
2,820000.0,11.2,2.0,2.0,0.0,104.0,2013.0
2,480000.0,11.2,2.0,1.0,0.0,74.0,1970.0
2,1420000.0,11.2,2.0,1.0,348.0,,
3,1370000.0,11.2,3.0,2.0,323.0,204.0,
3,1680000.0,11.2,3.0,2.0,234.0,201.0,1998.0
4,2960000.0,11.2,5.0,2.0,798.0,,
4,2110000.0,11.2,4.0,2.0,645.0,,
3,1300000.0,11.2,3.0,2.0,323.0,,
3,1750000.0,11.2,3.0,1.0,562.0,,
1,300000.0,11.2,1.0,1.0,0.0,42.0,2013.0
3,1100000.0,11.2,3.0,1.0,645.0,126.0,1960.0
1,373000.0,11.2,1.0,1.0,0.0,38.0,1965.0
3,1230000.0,11.2,3.0,2.0,822.0,,
2,1149000.0,11.2,,,,,
4,1500000.0,11.2,,,,,
2,536000.0,11.2,2.0,1.0,0.0,,1960.0
4,1300000.0,11.2,,,,,
2,2412000.0,11.2,2.0,1.0,1220.0,,
4,2560000.0,11.2,4.0,3.0,427.0,337.0,2012.0
3,960000.0,11.2,3.0,2.0,310.0,114.0,1970.0
4,1850000.0,11.2,,,,,
3,1510000.0,11.2,,,,,
2,977000.0,11.2,,,,,
1,315000.0,11.2,1.0,1.0,0.0,46.0,1940.0
3,1297000.0,11.2,3.0,1.0,333.0,147.0,1948.0
3,1015000.0,11.2,3.0,2.0,0.0,134.0,2013.0
4,1895000.0,11.2,,,,,
2,523000.0,11.2,2.0,1.0,0.0,62.0,1960.0
3,1335000.0,11.2,3.0,2.0,606.0,133.0,1965.0
3,1055000.0,11.2,3.0,2.0,0.0,,
4,2100000.0,11.2,,,,,
2,425000.0,11.2,2.0,1.0,0.0,57.0,1997.0
3,1670000.0,11.2,3.0,2.0,375.0,155.0,1920.0
4,1350000.0,11.2,4.0,3.0,222.0,90.0,2010.0
3,1650000.0,11.2,3.0,1.0,764.0,114.0,1925.0
2,530000.0,11.2,,,,,
4,1550000.0,11.2,4.0,2.0,848.0,,1970.0
3,2020000.0,11.2,,,,,
3,950000.0,11.2,3.0,1.0,288.0,132.0,1999.0
3,1782500.0,11.2,3.0,1.0,615.0,126.0,1950.0
4,2490000.0,11.2,3.0,2.0,640.0,,
2,500000.0,11.2,2.0,1.0,50.0,,
3,940000.0,11.2,,,,,
2,650000.0,11.2,2.0,2.0,0.0,120.0,2015.0
3,800000.0,8.7,,,,,
3,870000.0,8.7,3.0,2.0,392.0,,
2,635000.0,8.7,2.0,2.0,0.0,,
3,975000.0,8.7,3.0,1.0,597.0,154.0,1970.0
3,560000.0,8.7,3.0,2.0,77.0,115.0,2004.0
3,560000.0,8.7,3.0,2.0,83.0,,2000.0
4,961000.0,8.7,,,,,
4,979888.0,8.7,,,,,
4,1650000.0,8.7,,,,,
2,355000.0,8.7,2.0,1.0,0.0,88.0,2004.0
3,550000.0,8.7,3.0,2.0,77.0,138.0,2000.0
2,420000.0,8.7,2.0,1.0,5661.0,103.0,1940.0
2,345000.0,8.7,,,,,
2,399000.0,8.7,2.0,1.0,904.0,53.0,1985.0
4,940000.0,8.7,4.0,2.0,516.0,,
3,1105000.0,8.7,3.0,1.0,762.0,142.0,1950.0
3,730000.0,8.7,3.0,1.0,250.0,132.0,2000.0
2,425000.0,8.7,2.0,1.0,170.0,,
3,662500.0,8.7,3.0,2.0,202.0,121.0,2006.0
3,700000.0,8.7,,,,,
3,1275000.0,8.7,,,,,
3,986500.0,8.7,3.0,1.0,629.0,,
1,260000.0,8.7,,,,,
2,410000.0,8.7,2.0,1.0,53.0,71.0,2000.0
5,930000.0,8.7,5.0,2.0,330.0,,
3,920000.0,8.7,3.0,1.0,689.0,110.0,1920.0
3,1320000.0,8.7,3.0,2.0,645.0,211.0,1900.0
5,1150000.0,8.7,5.0,3.0,446.0,286.0,2002.0
3,680000.0,8.7,3.0,2.0,225.0,,
5,990000.0,8.7,5.0,2.0,433.0,,
2,330000.0,8.7,2.0,1.0,950.0,,
1,277500.0,8.7,,,,,
2,637000.0,8.7,,,,,
3,1011000.0,8.7,3.0,2.0,225.0,,
3,840000.0,8.7,,,,,
2,370000.0,8.7,,,,,
3,1151000.0,8.7,,,,,
2,370000.0,8.7,,,,,
2,580000.0,8.7,,,,,
3,847000.0,8.7,3.0,2.0,222.0,200.0,2002.0
2,400000.0,8.7,2.0,1.0,3967.0,87.0,2007.0
2,620000.0,8.7,,,,,
4,1100000.0,8.7,4.0,2.0,586.0,,
3,1072000.0,8.7,3.0,2.0,1396.0,175.0,1955.0
2,479000.0,8.7,2.0,2.0,0.0,,
2,470000.0,8.7,2.0,2.0,0.0,,
2,510000.0,8.7,2.0,2.0,176.0,142.0,2010.0
3,440000.0,8.7,,,,,
2,460000.0,8.7,,,,,
3,865000.0,8.7,3.0,2.0,151.0,3.0,2010.0
2,488000.0,8.7,2.0,2.0,0.0,,
4,940000.0,8.7,4.0,2.0,325.0,,2004.0
2,570000.0,8.7,3.0,1.0,98.0,128.0,2009.0
3,500000.0,8.7,,,,,
2,335000.0,8.7,2.0,1.0,0.0,99.0,
4,1900000.0,8.7,4.0,3.0,865.0,374.0,2013.0
2,429000.0,8.7,2.0,1.0,83.0,88.0,1980.0
2,495000.0,8.7,2.0,2.0,37000.0,,
3,820000.0,8.7,3.0,2.0,275.0,,
3,456000.0,8.7,3.0,2.0,4977.0,95.0,2005.0
2,566000.0,8.7,2.0,2.0,3014.0,80.0,2012.0
2,408000.0,8.7,2.0,1.0,85.0,84.0,1980.0
4,1040000.0,8.7,4.0,3.0,298.0,,
4,1015000.0,8.7,,,,,
2,470000.0,8.7,2.0,2.0,0.0,79.0,2011.0
3,1460000.0,8.7,3.0,1.0,926.0,,
3,780000.0,8.7,3.0,3.0,173.0,184.0,2000.0
3,675000.0,8.7,3.0,2.0,210.0,,
2,440000.0,8.7,2.0,1.0,54.0,85.0,2000.0
3,640000.0,8.7,,,,,
4,880000.0,8.7,,,,,
4,1048700.0,8.7,3.0,2.0,452.0,245.0,1999.0
2,400000.0,8.7,2.0,1.0,54.0,85.0,2000.0
4,1215000.0,8.7,4.0,3.0,613.0,142.0,1950.0
4,1180000.0,8.7,4.0,3.0,688.0,166.0,1960.0
4,1117000.0,8.7,4.0,3.0,325.0,207.0,2005.0
2,420000.0,8.7,2.0,1.0,0.0,68.0,1970.0
5,1000000.0,8.7,5.0,3.0,98.0,,
3,600000.0,8.7,,,,,
4,770000.0,8.7,4.0,2.0,215.0,231.0,2000.0
3,905000.0,8.7,3.0,1.0,696.0,,
5,1151000.0,8.7,5.0,2.0,694.0,232.0,1950.0
3,805000.0,8.7,,,,,
3,1540000.0,8.7,,,,,
3,907000.0,8.7,3.0,1.0,678.0,124.0,1950.0
2,570000.0,8.7,2.0,2.0,3014.0,204.0,2012.0
3,725000.0,8.7,,,,,
3,820000.0,8.7,3.0,2.0,203.0,160.0,2006.0
3,940000.0,8.7,3.0,1.0,695.0,141.0,1940.0
3,1150000.0,8.7,,,,,
4,1030000.0,8.7,4.0,2.0,573.0,196.0,1925.0
5,1350000.0,8.7,5.0,3.0,670.0,,
4,1230000.0,8.7,3.0,3.0,270.0,215.0,2009.0
4,720000.0,8.7,,,,,
3,460000.0,8.7,3.0,2.0,95.0,,2001.0
3,884500.0,8.7,3.0,2.0,211.0,234.0,2005.0
3,1010000.0,8.7,3.0,1.0,594.0,,1940.0
3,820000.0,8.7,3.0,1.0,539.0,,
3,820000.0,8.7,3.0,1.0,578.0,176.0,2006.0
2,330000.0,8.7,2.0,1.0,0.0,,1970.0
1,400000.0,2.8,,,,,
1,365000.0,2.8,,,,,
1,427000.0,2.8,1.0,1.0,0.0,,
2,1200000.0,2.8,,,,,
2,520000.0,2.8,,,,,
2,1160500.0,2.8,2.0,2.0,4230.0,,2006.0
3,940000.0,2.8,,,,,
3,1525000.0,2.8,,,,,
2,780000.0,2.8,2.0,2.0,0.0,85.0,1997.0
2,595000.0,2.8,,,,,
1,370000.0,2.8,,,,,
2,2138000.0,2.8,,,,,
3,2030000.0,2.8,,,,,
2,535000.0,2.8,2.0,1.0,0.0,84.0,2001.0
3,860000.0,2.8,,,,,
3,1275000.0,2.8,,,,,
2,450000.0,2.8,2.0,1.0,0.0,55.0,2014.0
2,360000.0,2.8,2.0,1.0,0.0,66.0,1974.0
1,395000.0,2.8,,,,,
3,610000.0,2.8,,,,,
3,1470000.0,2.8,,,,,
2,665000.0,2.8,2.0,1.0,0.0,80.0,2004.0
2,370000.0,2.8,,,,,
1,390000.0,2.8,,,,,
1,270000.0,2.8,,,,,
1,386000.0,2.8,1.0,1.0,0.0,64.0,1976.0
1,659000.0,2.8,1.0,1.0,0.0,59.0,2006.0
2,1050000.0,2.8,,,,,
2,671000.0,2.8,2.0,1.0,0.0,,
2,545000.0,2.8,2.0,1.0,0.0,67.0,2002.0
1,450000.0,2.8,1.0,1.0,0.0,57.0,1960.0
2,570000.0,2.8,,,,,
1,432000.0,2.8,1.0,1.0,0.0,51.0,2005.0
2,585000.0,2.8,,,,,
1,400000.0,2.8,1.0,1.0,0.0,,2005.0
1,210000.0,2.8,1.0,1.0,0.0,,
2,545000.0,2.8,,,,,
1,500000.0,2.8,,,,,
3,750000.0,2.8,3.0,2.0,0.0,122.0,1998.0
1,375000.0,2.8,1.0,1.0,1414.0,47.0,2014.0
2,600000.0,2.8,,,,,
1,435000.0,2.8,,,,,
2,363500.0,2.8,,,,,
2,750000.0,2.8,,,,,
2,1016000.0,2.8,,,,,
2,505000.0,2.8,,,,,
1,680000.0,2.8,1.0,1.0,0.0,102.0,1965.0
2,796000.0,2.8,,,,,
2,470000.0,2.8,2.0,1.0,0.0,55.0,1917.0
1,390000.0,2.8,,,,,
2,650000.0,2.8,2.0,1.0,0.0,92.0,
2,483000.0,2.8,1.0,1.0,0.0,68.0,2004.0
3,1400000.0,2.8,,,,,
3,610000.0,2.8,3.0,2.0,0.0,,
1,700000.0,2.8,1.0,1.0,0.0,64.0,1920.0
2,520000.0,2.8,1.0,1.0,4051.0,68.0,2005.0
2,692000.0,2.8,,,,,
2,670000.0,2.8,,,,,
1,440000.0,2.8,1.0,1.0,0.0,65.0,1920.0
1,436000.0,2.8,1.0,1.0,0.0,,
2,595000.0,2.8,,,,,
2,620000.0,2.8,,,,,
2,733000.0,2.8,2.0,2.0,0.0,94.0,1965.0
2,675000.0,2.8,2.0,2.0,0.0,,2014.0
1,375000.0,2.8,,,,,
2,426000.0,2.8,,,,,
3,1505000.0,2.8,,,,,
3,1630000.0,2.8,3.0,2.0,95.0,,
3,938000.0,2.8,,,,,
1,357500.0,2.8,,,,,
2,720000.0,2.8,,,,,
3,760000.0,2.8,2.0,2.0,0.0,89.0,1997.0
2,360000.0,2.8,1.0,1.0,1136.0,69.0,2009.0
1,435000.0,2.8,,,,,
2,390000.0,2.8,2.0,1.0,1751.0,,2012.0
1,510000.0,2.8,,,,,
2,607000.0,2.8,,,,,
3,705000.0,2.8,,,,,
3,2600000.0,4.1,3.0,1.0,279.0,133.0,1900.0
3,2350000.0,4.1,3.0,1.0,277.0,132.0,1900.0
3,2956000.0,4.1,3.0,2.0,300.0,,
2,535000.0,4.1,2.0,1.0,760.0,58.0,1930.0
1,400000.0,4.1,1.0,1.0,0.0,,
3,2227000.0,4.1,,,,,
2,1690000.0,4.1,2.0,1.0,145.0,,
2,1020000.0,4.1,2.0,1.0,107.0,,1900.0
2,1515000.0,4.1,3.0,1.0,98.0,,
2,700000.0,4.1,2.0,1.0,0.0,67.0,1970.0
3,2360000.0,4.1,3.0,1.0,288.0,,1900.0
3,2005000.0,4.1,3.0,1.0,220.0,,
2,702000.0,4.1,2.0,1.0,0.0,,1970.0
4,3120000.0,4.1,4.0,2.0,182.0,100.0,1900.0
2,1025000.0,4.1,2.0,1.0,123.0,73.0,1910.0
2,1920000.0,4.1,2.0,1.0,152.0,82.0,1910.0
3,2623000.0,4.1,3.0,2.0,181.0,212.0,2010.0
3,1500000.0,4.1,3.0,2.0,151.0,165.0,1880.0
2,1630000.0,4.1,2.0,1.0,152.0,113.0,1915.0
3,1910000.0,4.1,3.0,1.0,217.0,125.0,1900.0
2,1320000.0,11.8,2.0,1.0,613.0,115.0,1950.0
4,2850000.0,11.8,4.0,2.0,1388.0,,
2,750000.0,11.8,2.0,2.0,0.0,80.0,2003.0
4,1666000.0,11.8,,,,,
3,2588000.0,11.8,3.0,3.0,1149.0,225.0,1920.0
5,1955000.0,11.8,5.0,3.0,424.0,,
2,768000.0,11.8,,,,,
5,1400000.0,11.8,5.0,4.0,355.0,25.0,1979.0
2,1150000.0,11.8,,,,,
3,1901000.0,11.8,,,,,
2,665000.0,11.8,2.0,2.0,1291.0,,
5,2714000.0,11.8,5.0,2.0,1053.0,,
6,2350000.0,11.8,6.0,3.0,2026.0,,
4,2100000.0,11.8,,,,,
4,2200000.0,11.8,4.0,2.0,931.0,199.0,1930.0
2,660000.0,11.8,2.0,2.0,146.0,,
3,1310000.0,11.8,3.0,2.0,330.0,148.0,2001.0
2,540000.0,11.8,2.0,1.0,0.0,,1960.0
3,1355000.0,11.8,,,,,
4,2335000.0,11.8,4.0,2.0,813.0,170.0,1938.0
4,2000000.0,11.8,3.0,2.0,626.0,,1929.0
2,625000.0,11.8,,,,,
5,1815000.0,11.8,5.0,1.0,711.0,207.0,1950.0
2,626000.0,11.8,,,,,
2,725000.0,11.8,2.0,2.0,0.0,116.0,2005.0
3,870000.0,11.8,,,,,
4,3900000.0,11.8,4.0,2.0,2187.0,327.0,1903.0
3,1150000.0,11.8,,,,,
2,666000.0,11.8,2.0,1.0,0.0,,
3,1200000.0,11.8,3.0,2.0,255.0,152.0,2000.0
4,2025000.0,11.8,,,,,
4,1310000.0,11.8,,,,,
3,1564000.0,11.8,3.0,2.0,640.0,117.0,1950.0
3,1650000.0,11.8,,,,,
2,520000.0,11.8,2.0,1.0,0.0,92.0,2005.0
3,670000.0,6.9,3.0,2.0,0.0,120.0,2000.0
4,1715000.0,6.9,4.0,2.0,668.0,,
3,1055000.0,6.9,3.0,2.0,0.0,189.0,2009.0
2,348000.0,6.9,2.0,1.0,0.0,63.0,2007.0
4,1780000.0,6.9,4.0,3.0,615.0,201.0,1920.0
6,2150000.0,6.9,6.0,3.0,912.0,,
5,1730000.0,6.9,5.0,1.0,584.0,,
3,1440000.0,6.9,3.0,2.0,287.0,196.0,1880.0
4,1225000.0,6.9,4.0,1.0,388.0,120.0,1920.0
4,1445000.0,6.9,3.0,3.0,384.0,178.0,1920.0
3,1475000.0,6.9,,,,,
3,990000.0,6.9,3.0,1.0,328.0,107.0,1900.0
3,1400000.0,6.9,3.0,2.0,597.0,,
3,1550000.0,6.9,3.0,2.0,477.0,258.0,2014.0
3,1170000.0,6.9,3.0,1.0,443.0,102.0,1930.0
4,1120000.0,6.9,4.0,1.0,571.0,138.0,1915.0
2,675000.0,6.9,2.0,1.0,206.0,,
3,880000.0,6.9,3.0,2.0,315.0,,
4,1530000.0,6.9,3.0,2.0,431.0,152.0,1906.0
4,1350000.0,6.9,4.0,2.0,447.0,,1880.0
3,832000.0,6.9,3.0,2.0,214.0,111.0,1997.0
2,420000.0,6.9,2.0,1.0,0.0,82.0,1950.0
4,2400000.0,6.9,4.0,4.0,636.0,308.0,1900.0
3,565000.0,6.9,2.0,2.0,0.0,115.0,2001.0
2,550000.0,6.9,2.0,1.0,0.0,85.0,1990.0
4,1211000.0,6.9,3.0,1.0,477.0,146.0,1910.0
5,2405000.0,6.9,5.0,2.0,0.0,,
4,1395000.0,6.9,4.0,1.0,603.0,,
3,1630000.0,6.9,3.0,2.0,408.0,199.0,1900.0
3,1160000.0,6.9,3.0,1.0,449.0,133.0,1910.0
3,1065000.0,6.9,3.0,1.0,395.0,,
4,1361500.0,6.9,4.0,1.0,453.0,145.0,1920.0
2,945000.0,6.9,2.0,1.0,225.0,97.0,1890.0
1,360000.0,6.9,1.0,1.0,0.0,54.0,1965.0
2,860000.0,6.9,2.0,1.0,301.0,80.0,1920.0
3,1260000.0,6.9,3.0,2.0,253.0,,
4,1637000.0,6.9,4.0,1.0,539.0,190.0,1900.0
3,1505000.0,6.9,3.0,2.0,249.0,168.0,2007.0
2,515000.0,6.9,2.0,1.0,1981.0,111.0,2006.0
3,1100000.0,6.9,3.0,1.0,572.0,,
2,330000.0,6.9,2.0,1.0,0.0,39.0,2014.0
3,1145000.0,6.9,3.0,2.0,478.0,,
4,1322000.0,6.9,3.0,1.0,549.0,192.0,1930.0
2,1015000.0,6.9,2.0,1.0,228.0,125.0,1910.0
2,750000.0,6.9,2.0,1.0,0.0,,
2,1013000.0,6.9,2.0,1.0,237.0,,
3,840000.0,6.9,3.0,1.0,307.0,136.0,1910.0
1,465000.0,6.9,,,,,
4,1150000.0,6.9,4.0,2.0,481.0,,
5,1900000.0,6.9,5.0,3.0,646.0,261.0,1925.0
3,890500.0,6.9,3.0,2.0,213.0,,1950.0
5,2340000.0,6.9,5.0,3.0,619.0,372.0,2009.0
3,1370000.0,6.9,3.0,1.0,427.0,,
3,1400000.0,6.9,3.0,2.0,394.0,160.0,1890.0
4,1310000.0,6.9,3.0,3.0,475.0,,
4,1833000.0,6.9,4.0,1.0,583.0,,
3,855000.0,6.9,3.0,1.0,274.0,,
3,930000.0,6.9,2.0,1.0,305.0,,1900.0
4,1640000.0,6.9,4.0,2.0,435.0,329.0,1920.0
3,1480000.0,6.9,3.0,1.0,436.0,142.0,1910.0
3,902000.0,6.9,,,,,
2,672000.0,6.9,2.0,1.0,230.0,,1989.0
2,410000.0,6.9,2.0,1.0,0.0,59.0,1970.0
5,980000.0,6.9,5.0,2.0,207.0,168.0,2004.0
2,1055000.0,6.9,2.0,1.0,292.0,,
2,440000.0,6.9,2.0,1.0,0.0,,
3,1435000.0,6.9,3.0,1.0,633.0,,
4,1275000.0,6.9,4.0,2.0,627.0,,
1,1685000.0,6.9,,,,,
3,842500.0,6.9,3.0,2.0,216.0,156.0,1995.0
4,1345000.0,6.9,4.0,2.0,313.0,193.0,1910.0
1,265000.0,6.9,1.0,1.0,0.0,41.0,1970.0
2,849000.0,6.9,2.0,1.0,345.0,95.0,1930.0
3,1425000.0,6.9,3.0,1.0,526.0,159.0,1900.0
3,1345000.0,6.9,3.0,2.0,310.0,287.0,1930.0
2,330000.0,6.9,3.0,1.0,0.0,54.0,1970.0
4,726000.0,6.9,4.0,2.0,67.0,145.0,2000.0
3,1250000.0,6.9,3.0,2.0,283.0,222.0,2002.0
3,870000.0,6.9,3.0,2.0,156.0,152.0,2000.0
2,801000.0,6.9,2.0,1.0,133.0,,
3,1390000.0,6.9,,,,,
3,1725000.0,6.9,3.0,2.0,596.0,203.0,1950.0
1,415000.0,6.9,1.0,1.0,0.0,,
2,780000.0,6.9,,,,,
2,670000.0,6.9,,,,,
3,650000.0,6.9,3.0,1.0,0.0,,
2,600000.0,6.9,2.0,1.0,166.0,81.0,1965.0
4,1505000.0,6.9,4.0,2.0,441.0,164.0,1910.0
3,850000.0,6.9,3.0,2.0,271.0,143.0,1915.0
1,292000.0,6.9,1.0,1.0,0.0,45.0,1970.0
2,956000.0,6.9,2.0,1.0,435.0,,1920.0
3,961000.0,6.9,,,,,
5,1740000.0,6.9,4.0,1.0,739.0,155.0,1930.0
3,1683000.0,6.9,3.0,2.0,222.0,,1880.0
2,574000.0,6.9,2.0,2.0,159.0,,
2,470000.0,6.9,2.0,1.0,0.0,65.0,2014.0
3,1130000.0,6.9,3.0,2.0,217.0,145.0,2013.0
2,730000.0,6.9,2.0,1.0,217.0,,
2,831000.0,6.9,2.0,1.0,0.0,,
3,930000.0,6.9,3.0,3.0,325.0,132.0,1910.0
3,800000.0,6.9,2.0,1.0,207.0,,
3,1111000.0,6.9,3.0,1.0,502.0,,
2,900000.0,6.9,2.0,1.0,339.0,,
2,822500.0,6.9,3.0,1.0,219.0,,1900.0
4,1400000.0,6.9,3.0,2.0,595.0,,
1,336000.0,6.9,1.0,1.0,0.0,50.0,1980.0
2,800000.0,6.9,2.0,2.0,239.0,120.0,1970.0
3,1224000.0,14.6,3.0,1.0,834.0,143.0,1960.0
3,1020000.0,14.6,3.0,1.0,771.0,,
3,1000000.0,14.6,3.0,2.0,573.0,150.0,1970.0
1,380500.0,14.6,1.0,1.0,106.0,51.0,1990.0
